"{\fCalibri|b0|i0|c0|p34;ACTIVITY #}","{\fCalibri|b0|i0|c0|p34;No # }","{\fCalibri|b0|i0|c0|p34;SIZE/TYPE}","{\fCalibri|b0|i0|c0|p34;LENGTH}","Z-COORDINATES"
"544","1","PLACE 2335 SB-1141A3-44 (DETAIL A)","N/A",""
"544-02","1","BORE 18mm FUTUREPATH CONDUIT","16m",""
"544-03","1","BORE 18mm FUTUREPATH CONDUIT","16m",""
"544-04","1","BORE 18mm FUTUREPATH CONDUIT","14m",""
"544-05","1","BORE 18mm FUTUREPATH CONDUIT","14m",""
"544-06","1","BORE 18mm FUTUREPATH CONDUIT","45m",""
"544-07","1","BORE 18mm FUTUREPATH CONDUIT","45m",""
"544-08","1","BORE 18mm FUTUREPATH CONDUIT","75m",""
"543-01","1","BORE 18mm FUTUREPATH CONDUIT","98m",""
"543-02","1","BORE 18mm FUTUREPATH CONDUIT","68m",""
"543-03","1","BORE 18mm FUTUREPATH CONDUIT","68m",""
"546-01","1","BORE 18mm FUTUREPATH CONDUIT","46m",""
"546-02","1","BORE 18mm FUTUREPATH CONDUIT","46m",""
"548-11","1","BORE 18mm FUTUREPATH CONDUIT","54m",""
"548-12","1","BORE 18mm FUTUREPATH CONDUIT","54m",""
"642","1","BORE 1-50mm HDPE FROM SB-1141A3-48 (PAGE 614) TO SB-1141A3-46 (PAGE 611)","113m",""
"646","1","BORE 1-50mm HDPE FROM SB-1141A3-45 (PAGE 611) TO SB-1141A3-44","97m",""
