"{\fCalibri|b0|i0|c0|p34;ACTIVITY #}","{\fCalibri|b0|i0|c0|p34;No # }","{\fCalibri|b0|i0|c0|p34;SIZE/TYPE}","{\fCalibri|b0|i0|c0|p34;LENGTH}","Z-COORDINATES"
"509","1","PLACE 2335 SB-1141A3-9 (DETAIL A)","N/A",""
"554","1","PLACE PB 17x30 PB-1141A3-54 (DETAIL F)","N/A",""
"555","1","PLACE PB 17x30 PB-1141A3-55 (DETAIL F)","N/A",""
"634","1","BORE 1-50mm HDPE FROM SB-1141A3-7 (PAGE 610) TO SB-1141A3-8","147m",""
"635","1","BORE 1-50mm HDPE FROM SB-1141A3-8 TO SB-1141A3-9","35m",""
"636","1","BORE 1-50mm HDPE FROM SB-1141A3-8 TO PB-1141A3-54","106m",""
"637","1","BORE 1-50mm HDPE FROM PB-1141A3-54 TO PB-1141A3-55","116m",""
