"{\fCalibri|b0|i0|c0|p34;ACTIVITY #}","{\fCalibri|b0|i0|c0|p34;No # }","{\fCalibri|b0|i0|c0|p34;SIZE/TYPE}","{\fCalibri|b0|i0|c0|p34;LENGTH}","Z-COORDINATES"
"517-03","1","BORE 18mm FUTUREPATH CONDUIT","25m",""
"517-04","1","BORE 18mm FUTUREPATH CONDUIT","25m",""
"520-11","1","BORE 18mm FUTUREPATH CONDUIT","29m",""
"520-12","1","BORE 18mm FUTUREPATH CONDUIT","29m",""
"552","1","PLACE 2335 1141A3-52 (DETAIL A)","N/A",""
"614","1","BORE 1-50mm HDPE FROM SB-1141A3-20 TO EXISTING PED-1","125m",""
"615","1","BORE 1-50mm HDPE FROM SB-1141A3-20 TO SB-1141A3-52","76m",""
"616","1","BORE 1-50mm HDPE FROM SB-1141A3-52 TO SB-1141A3-21","119m",""
"617","1","BORE 1-50mm HDPE FROM SB-1141A3-21 TO SB-1141A3-24 (PAGE 604)","145m",""
"618","1","BORE 1-50mm HDPE FROM SB-1141A3-21 TO SB-1141A3-22","44m",""
"619","1","BORE 1-50mm HDPE FROM SB-1141A3-21 TO SB-1141A3-23","113m",""
"620","1","BORE 1-50mm HDPE FROM SB-1141A3-52 TO PL 130","4m",""
