"{\fCalibri|b0|i0|c0|p34;ACTIVITY #}","{\fCalibri|b0|i0|c0|p34;No # }","{\fCalibri|b0|i0|c0|p34;SIZE/TYPE}","{\fCalibri|b0|i0|c0|p34;LENGTH}","Z-COORDINATES"
"504","1","PLACE 2335 SB-1141A3-4 (DETAIL A)","N/A",""
"504-06","1","BORE 18mm FUTUREPATH CONDUIT","24m",""
"504-07","1","BORE 18mm FUTUREPATH CONDUIT","24m",""
"504-08","1","BORE 18mm FUTUREPATH CONDUIT","5m",""
"504-09","1","BORE 18mm FUTUREPATH CONDUIT","5m",""
"504-10","1","BORE 18mm FUTUREPATH CONDUIT","13m",""
"505","1","PLACE 2335 SB-1141A3-5 (DETAIL A)","N/A",""
"505-01","1","BORE 18mm FUTUREPATH CONDUIT","31m",""
"505-02","1","BORE 18mm FUTUREPATH CONDUIT","31m",""
"505-03","1","BORE 18mm FUTUREPATH CONDUIT","24m",""
"505-04","1","BORE 18mm FUTUREPATH CONDUIT","5m",""
"505-05","1","BORE 18mm FUTUREPATH CONDUIT","5m",""
"505-06","1","BORE 18mm FUTUREPATH CONDUIT","17m",""
"505-07","1","BORE 18mm FUTUREPATH CONDUIT","46m",""
"505-08","1","BORE 18mm FUTUREPATH CONDUIT","57m",""
"505-09","1","BORE 18mm FUTUREPATH CONDUIT","57m",""
