"{\fCalibri|b0|i0|c0|p34;ACTIVITY #}","{\fCalibri|b0|i0|c0|p34;No # }","{\fCalibri|b0|i0|c0|p34;SIZE/TYPE}","{\fCalibri|b0|i0|c0|p34;LENGTH}","Z-COORDINATES"
"539-01","1","BORE 18mm FUTUREPATH CONDUIT","48m",""
"539-02","1","BORE 18mm FUTUREPATH CONDUIT","48m",""
"539-03","1","BORE 18mm FUTUREPATH CONDUIT","23m",""
"543","1","PLACE 2335 SB-1141A3-43 (DETAIL A)","N/A",""
"543-04","1","BORE 18mm FUTUREPATH CONDUIT","37m",""
"543-05","1","BORE 18mm FUTUREPATH CONDUIT","37m",""
"543-06","1","BORE 18mm FUTUREPATH CONDUIT","12m",""
"543-07","1","BORE 18mm FUTUREPATH CONDUIT","1m",""
"543-08","1","BORE 18mm FUTUREPATH CONDUIT","1m",""
"548","1","PLACE 2335 1141A3-48 (DETAIL A)","N/A",""
"548-07","1","BORE 18mm FUTUREPATH CONDUIT","5m",""
"548-08","1","BORE 18mm FUTUREPATH CONDUIT","5m",""
"548-09","1","BORE 18mm FUTUREPATH CONDUIT","30m",""
"548-10","1","BORE 18mm FUTUREPATH CONDUIT","30m",""
"647","1","BORE 1-50mm HDPE FROM SB-1141A3-44 (PAGE 613) TO SB-1141A3-43","173m",""
"648","1","BORE 1-50mm HDPE FROM SB-1141A3-43 TO SB-1141A3-40 (PAGE 615)","106m",""
"649","1","BORE 1-50mm HDPE FROM SB-1141A3-43 TO SB-1141A3-39","96m",""
