"{\fCalibri|b0|i0|c0|p34;ACTIVITY #}","{\fCalibri|b0|i0|c0|p34;No # }","{\fCalibri|b0|i0|c0|p34;SIZE/TYPE}","{\fCalibri|b0|i0|c0|p34;LENGTH}","Z-COORDINATES"
"520","1","PLACE 2335 1141A3-20 (DETAIL A)","N/A",""
"520-01","1","BORE 18mm FUTUREPATH CONDUIT","114m",""
"520-02","1","BORE 18mm FUTUREPATH CONDUIT","102m",""
"520-03","1","BORE 18mm FUTUREPATH CONDUIT","101m",""
"520-04","1","BORE 18mm FUTUREPATH CONDUIT","70m",""
"520-05","1","BORE 18mm FUTUREPATH CONDUIT","70m",""
"520-06","1","BORE 18mm FUTUREPATH CONDUIT","42m",""
"520-07","1","BORE 18mm FUTUREPATH CONDUIT","42m",""
"520-08","1","BORE 18mm FUTUREPATH CONDUIT","17m",""
"520-09","1","BORE 18mm FUTUREPATH CONDUIT","5m",""
"520-10","1","BORE 18mm FUTUREPATH CONDUIT","5m",""
"611","1","BORE 1-50mm HDPE FROM SB-1141A3-17 TO SB-1141A3-18","86m",""
"612","1","BORE 1-50mm HDPE FROM SB-1141A3-17 TO SB-1141A3-19","137m",""
"613","1","BORE 1-50mm HDPE FROM SB-1141A-19 TO SB-1141A3-20","177m",""
"703","1","BORE 1-32mm HDPE FROM SB-1141A3-17 (PAGE 605) TO PL 7","66m",""
"704","1","BORE 1-32mm HDPE SHADOW CONDUIT FROM SB1141A3-17 TO PL 43","34m",""
