"{\fCalibri|b0|i0|c0|p34;ACTIVITY #}","{\fCalibri|b0|i0|c0|p34;No # }","{\fCalibri|b0|i0|c0|p34;SIZE/TYPE}","{\fCalibri|b0|i0|c0|p34;LENGTH}","Z-COORDINATES"
"514","1","PLACE 2335 1141A3-14 (DETAIL A)","N/A",""
"514-01","1","BORE 18mm FUTUREPATH CONDUIT","36m",""
"514-02","1","BORE 18mm FUTUREPATH CONDUIT","36m",""
"514-03","1","BORE 18mm FUTUREPATH CONDUIT","18m",""
"514-04","1","BORE 18mm FUTUREPATH CONDUIT","18m",""
"514-05","1","BORE 18mm FUTUREPATH CONDUIT","1m",""
"514-06","1","BORE 18mm FUTUREPATH CONDUIT","1m",""
"514-07","1","BORE 18mm FUTUREPATH CONDUIT","19m",""
"514-08","1","BORE 18mm FUTUREPATH CONDUIT","19m",""
"514-09","1","BORE 18mm FUTUREPATH CONDUIT","38m",""
"514-10","1","BORE 18mm FUTUREPATH CONDUIT","47m",""
"514-11","1","BORE 18mm FUTUREPATH CONDUIT","47m",""
"517-01","1","BORE 18mm FUTUREPATH CONDUIT","50m",""
"517-02","1","BORE 18mm FUTUREPATH CONDUIT","63m",""
"607","1","BORE 1-50mm HDPE FROM SB-1141A3-12 TO SB-1141A3-14","161m",""
"610","1","BORE 1-50mm HDPE FROM SB-1141A3-14 TO SB-1141A3-17 (PAGE 605)","144m",""
