"{\fCalibri|b0|i0|c0|p34;ACTIVITY #}","{\fCalibri|b0|i0|c0|p34;No # }","{\fCalibri|b0|i0|c0|p34;SIZE/TYPE}","{\fCalibri|b0|i0|c0|p34;LENGTH}","Z-COORDINATES"
"550","1","PLACE 2335 1141A3-50 (DETAIL A)","N/A",""
"550-01","1","BORE 18mm FUTUREPATH CONDUIT","28m",""
"550-02","1","BORE 18mm FUTUREPATH CONDUIT","28m",""
"550-03","1","BORE 18mm FUTUREPATH CONDUIT","12m",""
"550-04","1","BORE 18mm FUTUREPATH CONDUIT","12m",""
"550-05","1","BORE 18mm FUTUREPATH CONDUIT","30m",""
"550-06","1","BORE 18mm FUTUREPATH CONDUIT","30m",""
"550-07","1","BORE 18mm FUTUREPATH CONDUIT","55m",""
"550-08","1","BORE 18mm FUTUREPATH CONDUIT","55m",""
