"{\fCalibri|b0|i0|c0|p34;ACTIVITY #}","{\fCalibri|b0|i0|c0|p34;No # }","{\fCalibri|b0|i0|c0|p34;SIZE/TYPE}","{\fCalibri|b0|i0|c0|p34;LENGTH}","Z-COORDINATES"
"512","1","PLACE 2335 1141A3-12 (DETAIL A)","N/A",""
"512-05","1","BORE 18mm FUTUREPATH CONDUIT","56m",""
"512-06","1","BORE 18mm FUTUREPATH CONDUIT","56m",""
"512-07","1","BORE 18mm FUTUREPATH CONDUIT","30m",""
"512-08","1","BORE 18mm FUTUREPATH CONDUIT","30m",""
"512-09","1","BORE 18mm FUTUREPATH CONDUIT","13m",""
"512-10","1","BORE 18mm FUTUREPATH CONDUIT","13m",""
"513","1","PLACE 2335 1141A3-13 (DETAIL A)","N/A",""
"513-01","1","BORE 18mm FUTUREPATH CONDUIT","49m",""
"513-02","1","BORE 18mm FUTUREPATH CONDUIT","49m",""
"513-03","1","BORE 18mm FUTUREPATH CONDUIT","25m",""
"513-04","1","BORE 18mm FUTUREPATH CONDUIT","24m",""
"513-05","1","BORE 18mm FUTUREPATH CONDUIT","1m",""
"513-06","1","BORE 18mm FUTUREPATH CONDUIT","1m",""
"513-07","1","BORE 18mm FUTUREPATH CONDUIT","24m",""
"513-08","1","BORE 18mm FUTUREPATH CONDUIT","24m",""
"515","1","PLACE 2335 1141A3-15 (DETAIL A)","N/A",""
"515-01","1","BORE 18mm FUTUREPATH CONDUIT","86m",""
"515-02","1","BORE 18mm FUTUREPATH CONDUIT","77m",""
"515-03","1","BORE 18mm FUTUREPATH CONDUIT","77m",""
"515-04","1","BORE 18mm FUTUREPATH CONDUIT","55m",""
"515-05","1","BORE 18mm FUTUREPATH CONDUIT","55m",""
"515-06","1","BORE 18mm FUTUREPATH CONDUIT","35m",""
"515-07","1","BORE 18mm FUTUREPATH CONDUIT","35m",""
"515-08","1","BORE 18mm FUTUREPATH CONDUIT","16m",""
"515-09","1","BORE 18mm FUTUREPATH CONDUIT","16m",""
"516","1","PLACE 2335 1141A3-16 (DETAIL A)","N/A",""
"516-03","1","BORE 18mm FUTUREPATH CONDUIT","25m",""
"516-04","1","BORE 18mm FUTUREPATH CONDUIT","25m",""
"516-05","1","BORE 18mm FUTUREPATH CONDUIT","1m",""
"516-06","1","BORE 18mm FUTUREPATH CONDUIT","1m",""
"516-07","1","BORE 18mm FUTUREPATH CONDUIT","23m",""
"516-08","1","BORE 18mm FUTUREPATH CONDUIT","23m",""
"516-09","1","BORE 18mm FUTUREPATH CONDUIT","35m",""
"604","1","BORE 1-50mm HDPE FROM SB-1141A3-11 (PAGE 601) TO SB-1141A3-13 ","176m",""
"607","1","BORE 1-50mm HDPE FROM SB-1141A3-12  TO SB-1141A3-14","160m",""
"608","1","BORE 1-50mm HDPE FROM SB-1141A3-12 TO SB-1141A3-15","204m",""
"609","1","BORE 1-50mm HDPE FROM SB-1141A3-15 TO SB-1141A3-16","68m",""
