"{\fCalibri|b0|i0|c0|p34;ACTIVITY #}","{\fCalibri|b0|i0|c0|p34;No # }","{\fCalibri|b0|i0|c0|p34;SIZE/TYPE}","{\fCalibri|b0|i0|c0|p34;LENGTH}","Z-COORDINATES"
"502","1","PLACE 2335 1141A3-2 (DETAIL A)","N/A",""
"502-01","1","BORE 18mm FUTUREPATH CONDUIT","1m",""
"502-02","1","BORE 18mm FUTUREPATH CONDUIT","1m",""
"502-03","1","BORE 18mm FUTUREPATH CONDUIT","40m",""
"502-04","1","BORE 18mm FUTUREPATH CONDUIT","40m",""
"502-05","1","BORE 18mm FUTUREPATH CONDUIT","51m",""
"502-06","1","BORE 18mm FUTUREPATH CONDUIT","52m",""
