"{\fCalibri|b0|i0|c0|p34;ACTIVITY #}","{\fCalibri|b0|i0|c0|p34;No # }","{\fCalibri|b0|i0|c0|p34;SIZE/TYPE}","{\fCalibri|b0|i0|c0|p34;LENGTH}","Z-COORDINATES"
"540","1","PLACE 2335 SB-1141A3-40 (DETAIL A)","N/A",""
"540-01","1","BORE 18mm FUTUREPATH CONDUIT","27m",""
"540-02","1","BORE 18mm FUTUREPATH CONDUIT","27m",""
"540-03","1","BORE 18mm FUTUREPATH CONDUIT","1m",""
"540-04","1","BORE 18mm FUTUREPATH CONDUIT","1m",""
"540-05","1","BORE 18mm FUTUREPATH CONDUIT","23m",""
"540-06","1","BORE 18mm FUTUREPATH CONDUIT","47m",""
"540-07","1","BORE 18mm FUTUREPATH CONDUIT","47m",""
"540-08","1","BORE 18mm FUTUREPATH CONDUIT","78m",""
"540-09","1","BORE 18mm FUTUREPATH CONDUIT","78m",""
