"{\fCalibri|b0|i0|c0|p34;ACTIVITY #}","{\fCalibri|b0|i0|c0|p34;No # }","{\fCalibri|b0|i0|c0|p34;SIZE/TYPE}","{\fCalibri|b0|i0|c0|p34;LENGTH}","Z-COORDINATES"
"516-01","1","BORE 18mm FUTUREPATH CONDUIT","49m",""
"516-02","1","BORE 18mm FUTUREPATH CONDUIT","48m",""
