"{\fCalibri|b0|i0|c0|p34;ACTIVITY #}","{\fCalibri|b0|i0|c0|p34;No # }","{\fCalibri|b0|i0|c0|p34;SIZE/TYPE}","{\fCalibri|b0|i0|c0|p34;LENGTH}","Z-COORDINATES"
"509-07","1","BORE 18mm FUTUREPATH CONDUIT","29m",""
"509-06","1","BORE 18mm FUTUREPATH CONDUIT","29m",""
"509-05","1","BORE 18mm FUTUREPATH CONDUIT","1m",""
"509-04","1","BORE 18mm FUTUREPATH CONDUIT","1m",""
"509-03","1","BORE 18mm FUTUREPATH CONDUIT","30m",""
"509-02","1","BORE 18mm FUTUREPATH CONDUIT","30m",""
"509-01","1","BORE 18mm FUTUREPATH CONDUIT","42m",""
