"{\fCalibri|b0|i0|c0|p34;ACTIVITY #}","{\fCalibri|b0|i0|c0|p34;No # }","{\fCalibri|b0|i0|c0|p34;SIZE/TYPE}","{\fCalibri|b0|i0|c0|p34;LENGTH}","Z-COORDINATES"
"517","1","PLACE 2335 1141A-17 (DETAIL A)","N/A",""
"517-05","1","BORE 18mm FUTUREPATH CONDUIT","1m",""
"517-06","1","BORE 18mm FUTUREPATH CONDUIT","1m",""
"517-07","1","BORE 18mm FUTUREPATH CONDUIT","25m",""
"517-08","1","BORE 18mm FUTUREPATH CONDUIT","25m",""
"517-09","1","BORE 18mm FUTUREPATH CONDUIT","52m",""
"517-10","1","BORE 18mm FUTUREPATH CONDUIT","73m",""
"517-11","1","BORE 18mm FUTUREPATH CONDUIT","73m",""
"518","1","PLACE 2335 1141A3-18 (DETAIL A)","N/A",""
"518-01","1","BORE 18mm FUTUREPATH CONDUIT","22m",""
"518-02","1","BORE 18mm FUTUREPATH CONDUIT","8m",""
"518-03","1","BORE 18mm FUTUREPATH CONDUIT","8m",""
"518-04","1","BORE 18mm FUTUREPATH CONDUIT","8m",""
"518-05","1","BORE 18mm FUTUREPATH CONDUIT","8m",""
"518-06","1","BORE 18mm FUTUREPATH CONDUIT","24m",""
"518-07","1","BORE 18mm FUTUREPATH CONDUIT","24m",""
"518-08","1","BORE 18mm FUTUREPATH CONDUIT","38m",""
"518-09","1","BORE 18mm FUTUREPATH CONDUIT","44m",""
"518-10","1","BORE 18mm FUTUREPATH CONDUIT","44m",""
"519","1","PLACE 2335 1141A3-19 (DETAIL A)","N/A",""
"519-01","1","BORE 18mm FUTUREPATH CONDUIT","24m",""
"519-02","1","BORE 18mm FUTUREPATH CONDUIT","24m",""
"519-03","1","BORE 18mm FUTUREPATH CONDUIT","1m",""
"519-04","1","BORE 18mm FUTUREPATH CONDUIT","1m",""
"519-05","1","BORE 18mm FUTUREPATH CONDUIT","12m",""
"519-06","1","BORE 18mm FUTUREPATH CONDUIT","35m",""
"519-07","1","BORE 18mm FUTUREPATH CONDUIT","35m",""
"519-08","1","BORE 18mm FUTUREPATH CONDUIT","49m",""
