"{\fCalibri|b0|i0|c0|p34;ACTIVITY #}","{\fCalibri|b0|i0|c0|p34;No # }","{\fCalibri|b0|i0|c0|p34;SIZE/TYPE}","{\fCalibri|b0|i0|c0|p34;LENGTH}","Z-COORDINATES"
"535-06","1","BORE 18mm FUTUREPATH CONDUIT","20m",""
"535-07","1","BORE 18mm FUTUREPATH CONDUIT","22m",""
"536","1","PLACE 2335 SB-1141A3-36 (DETAIL A)","N/A",""
"536-01","1","BORE 18mm FUTUREPATH CONDUIT","108m",""
"536-02","1","BORE 18mm FUTUREPATH CONDUIT","108m",""
"536-03","1","BORE 18mm FUTUREPATH CONDUIT","95m",""
"536-04","1","BORE 18mm FUTUREPATH CONDUIT","95m",""
"536-05","1","BORE 18mm FUTUREPATH CONDUIT","77m",""
"536-06","1","BORE 18mm FUTUREPATH CONDUIT","75m",""
"536-07","1","BORE 18mm FUTUREPATH CONDUIT","35m",""
"536-08","1","BORE 18mm FUTUREPATH CONDUIT","35m",""
"536-09","1","BORE 18mm FUTUREPATH CONDUIT","45m",""
"536-10","1","BORE 18mm FUTUREPATH CONDUIT","63m",""
"536-11","1","BORE 18mm FUTUREPATH CONDUIT","63m",""
"536-12","1","BORE 18mm FUTUREPATH CONDUIT","76m",""
"657","1","BORE 1-50mm HDPE FROM SB-1141A3-35 (PAGE 615) TO SB-1141A3-36","117m",""
