"{\fCalibri|b0|i0|c0|p34;ACTIVITY #}","{\fCalibri|b0|i0|c0|p34;No # }","{\fCalibri|b0|i0|c0|p34;SIZE/TYPE}","{\fCalibri|b0|i0|c0|p34;LENGTH}","Z-COORDINATES"
"506","1","PLACE 2335 SB-1141A3-6 (DETAIL A)","N/A",""
"506-01","1","BORE 18mm FUTUREPATH CONDUIT","14m",""
"506-02","1","BORE 18mm FUTUREPATH CONDUIT","14m",""
"506-03","1","BORE 18mm FUTUREPATH CONDUIT","25m",""
"506-04","1","BORE 18mm FUTUREPATH CONDUIT","25m",""
"506-05","1","BORE 18mm FUTUREPATH CONDUIT","1m",""
"506-06","1","BORE 18mm FUTUREPATH CONDUIT","1m",""
"714","1","PLACE 2335 SB-1141A3-6 (DETAIL A)","N/A",""
