"{\fCalibri|b0|i0|c0|p34;ACTIVITY #}","{\fCalibri|b0|i0|c0|p34;No # }","{\fCalibri|b0|i0|c0|p34;SIZE/TYPE}","{\fCalibri|b0|i0|c0|p34;LENGTH}","Z-COORDINATES"
"537","1","PLACE 2335 1141A3-37 (DETAIL A)","N/A",""
"537-07","1","BORE 18mm FUTUREPATH CONDUIT","15m",""
"537-06","1","BORE 18mm FUTUREPATH CONDUIT","15m",""
"537-05","1","BORE 18mm FUTUREPATH CONDUIT","38m",""
"537-04","1","BORE 18mm FUTUREPATH CONDUIT","38m",""
"537-03","1","BORE 18mm FUTUREPATH CONDUIT","65m",""
"537-02","1","BORE 18mm FUTUREPATH CONDUIT","65m",""
"538-03","1","BORE 18mm FUTUREPATH CONDUIT","29m",""
"538-04","1","BORE 18mm FUTUREPATH CONDUIT","29m",""
"538-05","1","BORE 18mm FUTUREPATH CONDUIT","56m",""
"538-06","1","BORE 18mm FUTUREPATH CONDUIT","56m",""
"538-07","1","BORE 18mm FUTUREPATH CONDUIT","82m",""
"538-08","1","BORE 18mm FUTUREPATH CONDUIT","82m",""
"538-09","1","BORE 18mm FUTUREPATH CONDUIT","95m",""
"659","1","BORE 1-50mm HDPE FROM SB-1141A3-38 (PAGE 605) TO SB-1141A3-37","126m",""
