"{\fCalibri|b0|i0|c0|p34;ACTIVITY #}","{\fCalibri|b0|i0|c0|p34;No # }","{\fCalibri|b0|i0|c0|p34;SIZE/TYPE}","{\fCalibri|b0|i0|c0|p34;LENGTH}","Z-COORDINATES"
"529","1","PLACE 2335 1141A3-29 (DETAIL A)","N/A",""
"529-05","1","BORE 18mm FUTUREPATH CONDUIT","5m",""
"529-06","1","BORE 18mm FUTUREPATH CONDUIT","5m",""
"529-07","1","BORE 18mm FUTUREPATH CONDUIT","30m",""
"529-08","1","BORE 18mm FUTUREPATH CONDUIT","30m",""
"529-09","1","BORE 18mm FUTUREPATH CONDUIT","48m",""
"529-10","1","BORE 18mm FUTUREPATH CONDUIT","48m",""
"529-11","1","BORE 18mm FUTUREPATH CONDUIT","66m",""
"530","1","PLACE 2335 1141A3-30 (DETAIL A)","N/A",""
"530-04","1","BORE 18mm FUTUREPATH CONDUIT","19m",""
"530-05","1","BORE 18mm FUTUREPATH CONDUIT","19m",""
"530-06","1","BORE 18mm FUTUREPATH CONDUIT","3m",""
"530-07","1","BORE 18mm FUTUREPATH CONDUIT","3m",""
"530-08","1","BORE 18mm FUTUREPATH CONDUIT","17m",""
"530-09","1","BORE 18mm FUTUREPATH CONDUIT","17m",""
"530-10","1","BORE 18mm FUTUREPATH CONDUIT","36m",""
"530-11","1","BORE 18mm FUTUREPATH CONDUIT","36m",""
"531-04","1","BORE 18mm FUTUREPATH CONDUIT","23m",""
"627","1","BORE 1-50mm HDPE FROM SB-1141A3-29 TO SB-1141A3-30","46m",""
