"{\fCalibri|b0|i0|c0|p34;ACTIVITY #}","{\fCalibri|b0|i0|c0|p34;No # }","{\fCalibri|b0|i0|c0|p34;SIZE/TYPE}","{\fCalibri|b0|i0|c0|p34;LENGTH}","Z-COORDINATES"
"525","1","PLACE 2335 1141A3-25 (DETAIL A)","N/A",""
"525-01","1","BORE 18mm FUTUREPATH CONDUIT","1m",""
"525-02","1","BORE 18mm FUTUREPATH CONDUIT","13m",""
"525-03","1","BORE 18mm FUTUREPATH CONDUIT","14m",""
"525-04","1","BORE 18mm FUTUREPATH CONDUIT","40m",""
"525-05","1","BORE 18mm FUTUREPATH CONDUIT","41m",""
"525-06","1","BORE 18mm FUTUREPATH CONDUIT","67m",""
"525-07","1","BORE 18mm FUTUREPATH CONDUIT","67m",""
"526","1","PLACE 2335 1141A3-26 (DETAIL A)","N/A",""
"526-07","1","BORE 18mm FUTUREPATH CONDUIT","2m",""
"526-08","1","BORE 18mm FUTUREPATH CONDUIT","2m",""
"527-01","1","BORE 18mm FUTUREPATH CONDUIT","54m",""
"527-02","1","BORE 18mm FUTUREPATH CONDUIT","54m",""
"527-03","1","BORE 18mm FUTUREPATH CONDUIT","28m",""
"527-04","1","BORE 18mm FUTUREPATH CONDUIT","28m",""
"553-01","1","BORE 18mm FUTUREPATH CONDUIT","27m",""
"553-02","1","BORE 18mm FUTUREPATH CONDUIT","26m",""
"556","1","{\fArial|b1|i0|c0|p34;OVER BUILD Existing PED-01 WITH MAH-1420 (DETAIL D)}","N/A",""
"621","1","BORE 1-50mm HDPE FROM SB-1141A3-52 (PAGE 606) TO SB-1141A3-25","122m",""
"622","1","BORE 1-50mm HDPE FROM SB-1141A3-25 TO SB-1141A3-27","102m",""
"623","1","BORE 1-50mm HDPE FROM 1141A3-25 TO 1141A3-53 (PAGE 619)","116m",""
