"{\fCalibri|b0|i0|c0|p34;ACTIVITY #}","{\fCalibri|b0|i0|c0|p34;No # }","{\fCalibri|b0|i0|c0|p34;SIZE/TYPE}","{\fCalibri|b0|i0|c0|p34;LENGTH}","Z-COORDINATES"
"507","1","PLACE 2335 SB-1141A3-7 (DETAIL A)","N/A",""
"507-01","1","BORE 18mm FUTUREPATH CONDUIT","38m",""
"507-02","1","BORE 18mm FUTUREPATH CONDUIT","36m",""
"507-03","1","BORE 18mm FUTUREPATH CONDUIT","12m",""
"507-04","1","BORE 18mm FUTUREPATH CONDUIT","5m",""
"507-05","1","BORE 18mm FUTUREPATH CONDUIT","5m",""
"631","1","BORE 1-50mm HDPE FROM SB-1141A3-4 TO 1141A3-5","62m",""
"632","1","BORE 1-50mm HDPE FROM SB-1141A3-5 TO SB-1141A3-6","69m",""
"633","1","BORE 1-50mm HDPE FROM SB-1141A3-5 TO SB-1141A3-7","106m",""
