"{\fCalibri|b0|i0|c0|p34;ACTIVITY #}","{\fCalibri|b0|i0|c0|p34;No # }","{\fCalibri|b0|i0|c0|p34;SIZE/TYPE}","{\fCalibri|b0|i0|c0|p34;LENGTH}","Z-COORDINATES"
"503-01","1","BORE 18mm FUTUREPATH CONDUIT","79m",""
"503-02","1","BORE 18mm FUTUREPATH CONDUIT","78m",""
"503-03","1","BORE 18mm FUTUREPATH CONDUIT","57m",""
"503-04","1","BORE 18mm FUTUREPATH CONDUIT","57m",""
"503-05","1","BORE 18mm FUTUREPATH CONDUIT","33m",""
"503-06","1","BORE 18mm FUTUREPATH CONDUIT","21m",""
"512-01","1","BORE 18mm FUTUREPATH CONDUIT","114m",""
"512-02","1","BORE 18mm FUTUREPATH CONDUIT","113m",""
"602","1","BORE 1-50mm HDPE FROM SB1141A3-2 TO SB1141A3-11","110m",""
"603","1","BORE 1-50mm HDPE FROM SB1141A3-2 TO SB1141A3-3 (PAGE 602)","88m",""
"605","1","BORE 1-50mm HDPE FROM SB-1141A3-10 TO SB-1141A3-11","83m",""
