"{\fCalibri|b0|i0|c0|p34;ACTIVITY #}","{\fCalibri|b0|i0|c0|p34;No # }","{\fCalibri|b0|i0|c0|p34;SIZE/TYPE}","{\fCalibri|b0|i0|c0|p34;LENGTH}","Z-COORDINATES"
"526-01","1","BORE 18mm FUTUREPATH CONDUIT","56m",""
"526-02","1","BORE 18mm FUTUREPATH CONDUIT","56m",""
"526-03","1","BORE 18mm FUTUREPATH CONDUIT","48m",""
"526-04","1","BORE 18mm FUTUREPATH CONDUIT","40m",""
"526-05","1","BORE 18mm FUTUREPATH CONDUIT","28m",""
"526-06","1","BORE 18mm FUTUREPATH CONDUIT","28m",""
"527","1","PLACE 2335 1141A3-27(DETAIL A)","N/A",""
"527-05","1","BORE 18mm FUTUREPATH CONDUIT","1m",""
"527-06","1","BORE 18mm FUTUREPATH CONDUIT","1m",""
"527-07","1","BORE 18mm FUTUREPATH CONDUIT","27m",""
"527-08","1","BORE 18mm FUTUREPATH CONDUIT","27m",""
"528","1","PLACE 2335 1141A3-28 (DETAIL A)","N/A",""
"528-01","1","BORE 18mm FUTUREPATH CONDUIT","51m",""
"528-02","1","BORE 18mm FUTUREPATH CONDUIT","38m",""
"528-03","1","BORE 18mm FUTUREPATH CONDUIT","38m",""
"528-04","1","BORE 18mm FUTUREPATH CONDUIT","25m",""
"528-05","1","BORE 18mm FUTUREPATH CONDUIT","2m",""
"528-06","1","BORE 18mm FUTUREPATH CONDUIT","2m",""
"528-07","1","BORE 18mm FUTUREPATH CONDUIT","23m",""
"528-08","1","BORE 18mm FUTUREPATH CONDUIT","24m",""
"528-09","1","BORE 18mm FUTUREPATH CONDUIT","38m",""
"528-10","1","BORE 18mm FUTUREPATH CONDUIT","43m",""
"529","1","PLACE 2335 1141A3-29 (DETAIL A)","N/A",""
"529-01","1","BORE 18mm FUTUREPATH CONDUIT","50m",""
"529-02","1","BORE 18mm FUTUREPATH CONDUIT","48m",""
"529-03","1","BORE 18mm FUTUREPATH CONDUIT","25m",""
"529-04","1","BORE 18mm FUTUREPATH CONDUIT","25m",""
"530-01","1","BORE 18mm FUTUREPATH CONDUIT","127m",""
"530-02","1","BORE 18mm FUTUREPATH CONDUIT","127m",""
"530-03","1","BORE 18mm FUTUREPATH CONDUIT","110m",""
"553","1","PLACE 2335 1141A3-53 (DETAIL A)","N/A",""
"553-03","1","BORE 18mm FUTUREPATH CONDUIT","1m",""
"553-04","1","BORE 18mm FUTUREPATH CONDUIT","1m",""
"553-05","1","BORE 18mm FUTUREPATH CONDUIT","19m",""
"553-06","1","BORE 18mm FUTUREPATH CONDUIT","20m",""
"624","1","BORE 1-50mm HDPE FROM SB-1141A3-53 TO SB-1141A3-26 (PAGE 607)","36m",""
"625","1","BORE 1-50mm HDPE FROM SB-1141A3-27 TO SB-1141A3-28","92m",""
"626","1","BORE 1-50mm HDPE FROM SB-1141A3-28 TO SB-1141A3-29 (PAGE 618)","145m",""
"705","1","BORE 1-32mm HDPE SHADOW CONDUIT FROM SB-1141A3-27 TO PL 196","96m",""
