"{\fCalibri|b0|i0|c0|p34;ACTIVITY #}","{\fCalibri|b0|i0|c0|p34;No # }","{\fCalibri|b0|i0|c0|p34;SIZE/TYPE}","{\fCalibri|b0|i0|c0|p34;LENGTH}","Z-COORDINATES"
"","0","{\fArial|b1|i0|c134|p34;Existing PED-\fArial|b1|i0|c0|p34;X}","N/A","{\C256;N/A}"
"","2","BORE 18mm FUTUREPATH CONDUIT","Xm",""
"1","{\fArial|b1|i0|c0|p34;PLACE PB 17X30 PB-XXXXAX-X (DETAIL F)}","N/A",""
"","1","{\fArial|b1|i0|c0|p34;PLACE SB 2335 SB-XXXXAX-XX (DETAIL A)}","N/A",""
"","1","{\fArial|b1|i0|c134|p34;OVER BUILD Existing PED-\fArial|b1|i0|c0|p34;XX\fArial|b1|i0|c134|p34; WITH AN \fArial|b1|i0|c0|p34;SG-6\fArial|b1|i0|c134|p34; (\C0;DETAIL \fArial|b1|i0|c0|p34;G\fArial|b1|i0|c134|p34;)}   ","N/A",""
"","1","BORE 1-50mm HDPE FROM PED-2 TO SB-XXXXAX-XX","XXm",""
"","1","{\C256;BORE HDPE SHADOW DUCT }","XXm",""
