"{\fCalibri|b0|i0|c0|p34;ACTIVITY #}","{\fCalibri|b0|i0|c0|p34;No # }","{\fCalibri|b0|i0|c0|p34;SIZE/TYPE}","{\fCalibri|b0|i0|c0|p34;LENGTH}","Z-COORDINATES"
"511-07","1","BORE 18mm FUTUREPATH CONDUIT","89m",""
"511-08","1","BORE 18mm FUTUREPATH CONDUIT","89m",""
"702","1","BORE 1-32mm HDPE SHADOW CONDUIT FROM SB-1141A3-13 (PAGE 603) TO PL 64 ","152m",""
"712","1","BORE 1-32mm HDPE SHADOW CONDUIT FROM SB-1141A3-12 TO PL 75 (PL of Lot 75)","152m",""
"713","1","BORE 1-32mm HDPE SHADOW CONDUIT FROM SB-1141A3-12 TO PL 99 ","152m",""
