"{\fCalibri|b0|i0|c0|p34;ACTIVITY #}","{\fCalibri|b0|i0|c0|p34;No # }","{\fCalibri|b0|i0|c0|p34;SIZE/TYPE}","{\fCalibri|b0|i0|c0|p34;LENGTH}","Z-COORDINATES"
"557","1","PLACE 2335 SV-1141A3-1 (DETAIL C)","N/A",""
"504-01","1","BORE 18mm FUTUREPATH CONDUIT","101m",""
"504-02","1","BORE 18mm FUTUREPATH CONDUIT","83m",""
"504-03","1","BORE 18mm FUTUREPATH CONDUIT","78m",""
