"{\fCalibri|b0|i0|c0|p34;ACTIVITY #}","{\fCalibri|b0|i0|c0|p34;No # }","{\fCalibri|b0|i0|c0|p34;SIZE/TYPE}","{\fCalibri|b0|i0|c0|p34;LENGTH}","Z-COORDINATES"
"547-03","1","BORE 18mm FUTUREPATH CONDUIT","67m",""
"547-02","1","BORE 18mm FUTUREPATH CONDUIT","93m",""
"547-01","1","BORE 18mm FUTUREPATH CONDUIT","93m",""
"547","1","PLACE 2335 SB-1141A3-47 (DETAIL A)","N/A",""
"549-01","1","BORE 18mm FUTUREPATH CONDUIT","55m",""
"549-02","1","BORE 18mm FUTUREPATH CONDUIT","55m",""
