"{\fCalibri|b0|i0|c0|p34;ACTIVITY #}","{\fCalibri|b0|i0|c0|p34;No # }","{\fCalibri|b0|i0|c0|p34;SIZE/TYPE}","{\fCalibri|b0|i0|c0|p34;LENGTH}","Z-COORDINATES"
"538","1","PLACE 2335 SB-1141A3-38 (DETAIL A)","N/A",""
"538-01","1","BORE 18mm FUTUREPATH CONDUIT","4m",""
"538-02","1","BORE 18mm FUTUREPATH CONDUIT","4m",""
"539","1","PLACE 2335 1141A3-39 (DETAIL A)","N/A",""
"539-04","1","BORE 18mm FUTUREPATH CONDUIT","11m",""
"539-05","1","BORE 18mm FUTUREPATH CONDUIT","11m",""
"539-06","1","BORE 18mm FUTUREPATH CONDUIT","64m",""
"539-07","1","BORE 18mm FUTUREPATH CONDUIT","64m",""
"658","1","BORE 1-50mm HDPE FROM SB-1141A3-39 TO SB-1141A3-38","85 m",""
