"{\fCalibri|b0|i0|c0|p34;ACTIVITY #}","{\fCalibri|b0|i0|c0|p34;No # }","{\fCalibri|b0|i0|c0|p34;SIZE/TYPE}","{\fCalibri|b0|i0|c0|p34;LENGTH}","Z-COORDINATES"
"544-01","1","BORE 18mm FUTUREPATH CONDUIT","45m",""
"545","1","PLACE 2335 1141A3-45 (DETAIL A)","N/A",""
"545-01","1","BORE 18mm FUTUREPATH CONDUIT","50m",""
"545-02","1","BORE 18mm FUTUREPATH CONDUIT","50m",""
"545-03","1","BORE 18mm FUTUREPATH CONDUIT","25m",""
"545-04","1","BORE 18mm FUTUREPATH CONDUIT","25m",""
"545-05","1","BORE 18mm FUTUREPATH CONDUIT","1m",""
"545-06","1","BORE 18mm FUTUREPATH CONDUIT","1m",""
"545-07","1","BORE 18mm FUTUREPATH CONDUIT","26m",""
"545-08","1","BORE 18mm FUTUREPATH CONDUIT","26m",""
"545-09","1","BORE 18mm FUTUREPATH CONDUIT","51m",""
"546","1","PLACE 2335 1141A3-46 (DETAIL A)","N/A",""
"546-03","1","BORE 18mm FUTUREPATH CONDUIT","24m",""
"546-04","1","BORE 18mm FUTUREPATH CONDUIT","24m",""
"546-05","1","BORE 18mm FUTUREPATH CONDUIT","1m",""
"546-06","1","BORE 18mm FUTUREPATH CONDUIT","1m",""
"546-07","1","BORE 18mm FUTUREPATH CONDUIT","23m",""
"546-08","1","BORE 18mm FUTUREPATH CONDUIT","23m",""
"546-09","1","BORE 18mm FUTUREPATH CONDUIT","48m",""
"546-10","1","BORE 18mm FUTUREPATH CONDUIT","48m",""
"546-11","1","BORE 18mm FUTUREPATH CONDUIT","71m",""
"546-12","1","BORE 18mm FUTUREPATH CONDUIT","72m",""
