"{\fCalibri|b0|i0|c0|p34;ACTIVITY #}","{\fCalibri|b0|i0|c0|p34;No # }","{\fCalibri|b0|i0|c0|p34;SIZE/TYPE}","{\fCalibri|b0|i0|c0|p34;LENGTH}","Z-COORDINATES"
"503","1","PLACE 2335 1141A3-3 (DETAIL A)","N/A",""
"503-07","1","BORE 18mm FUTUREPATH CONDUIT","19m",""
"628","1","BORE 1-50mm HDPE FROM SB-1141A3-3 TO SV-1141A3-1","90m",""
"629","1","BORE 1-50mm HDPE FROM SV-1141A3-1 TO SB-1141A3-4 (PAGE 610)","107m",""
"630","1","BORE 1-50mm HDPE FROM SV-1141A3-1 TO PB-1141A3-54 (PAGE 609)","67m",""
