"{\fCalibri|b0|i0|c0|p34;ACTIVITY #}","{\fCalibri|b0|i0|c0|p34;No # }","{\fCalibri|b0|i0|c0|p34;SIZE/TYPE}","{\fCalibri|b0|i0|c0|p34;LENGTH}","Z-COORDINATES"
"540-10","1","BORE 18mm FUTUREPATH CONDUIT","110m",""
"540-11","1","BORE 18mm FUTUREPATH CONDUIT","110m",""
"541","1","PLACE 2335 1141A3-41 (DETAIL A)","N/A",""
"540-01","1","BORE 18mm FUTUREPATH CONDUIT","132m",""
"541-01","1","BORE 18mm FUTUREPATH CONDUIT","27m",""
"541-02","1","BORE 18mm FUTUREPATH CONDUIT","16m",""
"541-03","1","BORE 18mm FUTUREPATH CONDUIT","16m",""
"541-04","1","BORE 18mm FUTUREPATH CONDUIT","1m",""
"541-05","1","BORE 18mm FUTUREPATH CONDUIT","1m",""
"541-06","1","BORE 18mm FUTUREPATH CONDUIT","14m",""
"541-07","1","BORE 18mm FUTUREPATH CONDUIT","14m",""
"541-08","1","BORE 18mm FUTUREPATH CONDUIT","22m",""
"542","1","PLACE 2335 1141A3-42 (DETAIL A)","N/A",""
"542-01","1","BORE 18mm FUTUREPATH CONDUIT","34m",""
"542-02","1","BORE 18mm FUTUREPATH CONDUIT","21m",""
"542-03","1","BORE 18mm FUTUREPATH CONDUIT","21m",""
"542-04","1","BORE 18mm FUTUREPATH CONDUIT","1m",""
"542-05","1","BORE 18mm FUTUREPATH CONDUIT","1m",""
"542-06","1","BORE 18mm FUTUREPATH CONDUIT","28m",""
"542-07","1","BORE 18mm FUTUREPATH CONDUIT","28m",""
"542-08","1","BORE 18mm FUTUREPATH CONDUIT","53m",""
"542-09","1","BORE 18mm FUTUREPATH CONDUIT","53m",""
"651","1","BORE 1-50mm HDPE FROM SB-1141A3-41 TO SB-1141A3-42","27m",""
"708","1","BORE 1-32mm HDPE SHADOW CONDUIT FROM SB-1141A3-41 TO SB-1141A3-42","68m",""
