"{\fCalibri|b0|i0|c0|p34;ACTIVITY #}","{\fCalibri|b0|i0|c0|p34;No # }","{\fCalibri|b0|i0|c0|p34;SIZE/TYPE}","{\fCalibri|b0|i0|c0|p34;LENGTH}","Z-COORDINATES"
"508-05","1","BORE 18mm FUTUREPATH CONDUIT","67m",""
"508-06","1","BORE 18mm FUTUREPATH CONDUIT","41m",""
"508-07","1","BORE 18mm FUTUREPATH CONDUIT","41m",""
"508-08","1","BORE 18mm FUTUREPATH CONDUIT","12m",""
"508-09","1","BORE 18mm FUTUREPATH CONDUIT","5m",""
"508-10","1","BORE 18mm FUTUREPATH CONDUIT","5m",""
"508-11","1","BORE 18mm FUTUREPATH CONDUIT","28m",""
"508-12","1","BORE 18mm FUTUREPATH CONDUIT","28m",""
