"{\fCalibri|b0|i0|c0|p34;ACTIVITY #}","{\fCalibri|b0|i0|c0|p34;No # }","{\fCalibri|b0|i0|c0|p34;SIZE/TYPE}","{\fCalibri|b0|i0|c0|p34;LENGTH}","Z-COORDINATES"
"551","1","PLACE 2335 SB-1141A3-51 (DETAIL A)","N/A",""
"551-01","1","BORE 18mm FUTUREPATH CONDUIT","67m",""
"551-02","1","BORE 18mm FUTUREPATH CONDUIT","67m",""
"551-03","1","BORE 18mm FUTUREPATH CONDUIT","54m",""
"551-04","1","BORE 18mm FUTUREPATH CONDUIT","39m",""
"551-05","1","BORE 18mm FUTUREPATH CONDUIT","26m",""
"551-06","1","BORE 18mm FUTUREPATH CONDUIT","4m",""
"551-07","1","BORE 18mm FUTUREPATH CONDUIT","4m",""
"638","1","BORE 1-50mm HDPE FROM PB-1141A3-55 (PAGE 609) TO SB-1141A3-51","193m",""
"644","1","BORE 1-50mm HDPE FROM PB-1141A3-46 TO SB-1141A3-45","217m",""
"645","1","BORE 1-50mm HDPE FROM PB-1141A3-55 (PAGE 609) TO SB-1141A3-45","127m",""
"710","1","BORE 1-32mm HDPE SHADOW CONDUIT FROM SB-1141A3-45 TO PL 164","157m",""
