"{\fCalibri|b0|i0|c0|p34;ACTIVITY #}","{\fCalibri|b0|i0|c0|p34;No # }","{\fCalibri|b0|i0|c0|p34;SIZE/TYPE}","{\fCalibri|b0|i0|c0|p34;LENGTH}","Z-COORDINATES"
"512-03","1","BORE 18mm FUTUREPATH CONDUIT","85m",""
"512-04","1","BORE 18mm FUTUREPATH CONDUIT","85m",""
