"{\fCalibri|b0|i0|c0|p34;ACTIVITY #}","{\fCalibri|b0|i0|c0|p34;No # }","{\fCalibri|b0|i0|c0|p34;SIZE/TYPE}","{\fCalibri|b0|i0|c0|p34;LENGTH}","Z-COORDINATES"
"510","1","PLACE 2335 1141A3-10 (DETAIL A)","N/A",""
"510-01","1","BORE 18mm FUTUREPATH CONDUIT","64m",""
"510-02","1","BORE 18mm FUTUREPATH CONDUIT","63m",""
"510-03","1","BORE 18mm FUTUREPATH CONDUIT","41m",""
"510-04","1","BORE 18mm FUTUREPATH CONDUIT","29m",""
"510-05","1","BORE 18mm FUTUREPATH CONDUIT","28m",""
"510-06","1","BORE 18mm FUTUREPATH CONDUIT","4m",""
"511","1","{\fArial|b1|i0|c0|p34;OVER BUILD Existing PED-02 WITH MAH-1420 (DETAIL D)}","N/A",""
"511-01","1","BORE 18mm FUTUREPATH CONDUIT","15m",""
"511-02","1","BORE 18mm FUTUREPATH CONDUIT","15m",""
"511-03","1","BORE 18mm FUTUREPATH CONDUIT","48m",""
"511-04","1","BORE 18mm FUTUREPATH CONDUIT","48m",""
"511-05","1","BORE 18mm FUTUREPATH CONDUIT","64m",""
"511-06","1","BORE 18mm FUTUREPATH CONDUIT","64m",""
