"{\fCalibri|b0|i0|c0|p34;ACTIVITY #}","{\fCalibri|b0|i0|c0|p34;No # }","{\fCalibri|b0|i0|c0|p34;SIZE/TYPE}","{\fCalibri|b0|i0|c0|p34;LENGTH}","Z-COORDINATES"
"521","1","PLACE 2335 1141A3-21 (DETAIL A)","N/A",""
"521-03","1","BORE 18mm FUTUREPATH CONDUIT","29m",""
"521-04","1","BORE 18mm FUTUREPATH CONDUIT","28m",""
"521-05","1","BORE 18mm FUTUREPATH CONDUIT","3m",""
"521-06","1","BORE 18mm FUTUREPATH CONDUIT","3m",""
"521-07","1","BORE 18mm FUTUREPATH CONDUIT","28m",""
"521-08","1","BORE 18mm FUTUREPATH CONDUIT","28m",""
"522","1","PLACE 2335 1141A3-22 (DETAIL A)","N/A",""
"522-01","1","BORE 18mm FUTUREPATH CONDUIT","55m",""
"522-02","1","BORE 18mm FUTUREPATH CONDUIT","54m",""
"522-03","1","BORE 18mm FUTUREPATH CONDUIT","28m",""
"522-04","1","BORE 18mm FUTUREPATH CONDUIT","27m",""
"522-05","1","BORE 18mm FUTUREPATH CONDUIT","1m",""
"522-05","1","BORE 18mm FUTUREPATH CONDUIT","1m",""
"522-06","1","BORE 18mm FUTUREPATH CONDUIT","1m",""
"522-07","1","BORE 18mm FUTUREPATH CONDUIT","26m",""
"522-08","1","BORE 18mm FUTUREPATH CONDUIT","26m",""
"522-09","1","BORE 18mm FUTUREPATH CONDUIT","52m",""
"522-10","1","BORE 18mm FUTUREPATH CONDUIT","53m",""
