"{\fCalibri|b0|i0|c0|p34;ACTIVITY #}","{\fCalibri|b0|i0|c0|p34;No # }","{\fCalibri|b0|i0|c0|p34;SIZE/TYPE}","{\fCalibri|b0|i0|c0|p34;LENGTH}","Z-COORDINATES"
"501","1","PLACE 2335 1141A3-1 (DETAIL A)","N/A",""
"501-1","1","BORE 18mm FUTUREPATH CONDUIT","57m",""
"501-2","1","BORE 18mm FUTUREPATH CONDUIT","44m",""
"501-3","1","BORE 18mm FUTUREPATH CONDUIT","44m",""
"501-4","1","BORE 18mm FUTUREPATH CONDUIT","22m",""
"501-5","1","BORE 18mm FUTUREPATH CONDUIT","22m",""
"501-6","1","BORE 18mm FUTUREPATH CONDUIT","2m",""
"501-7","1","BORE 18mm FUTUREPATH CONDUIT","2m",""
"501-8","1","BORE 18mm FUTUREPATH CONDUIT","22m",""
"501-9","1","BORE 18mm FUTUREPATH CONDUIT","22m",""
"501-10","1","BORE 18mm FUTUREPATH CONDUIT","44m",""
"501-11","1","BORE 18mm FUTUREPATH CONDUIT","45m",""
"501-12","1","BORE 18mm FUTUREPATH CONDUIT","56m",""
"600","1","BORE 1-50mm HDPE FROM SV-1141A1-1  TO SB-1141A3-1","119m",""
"601","1","BORE 1-50mm HDPE FROM SB-1141A3-1 TO SB1141A3-2 (PAGE 601)","88m",""
"700","1","BORE 1-32mm HDPE SHADOW CONDUIT FROM SB1141A3-1 TO PL 71","33m",""
"701","1","BORE 1-32mm HDPE SHADOW CONDUIT FROM SB-1141A3-1 TO SB1141A3-2","88m",""
