"{\fCalibri|b0|i0|c0|p34;ACTIVITY #}","{\fCalibri|b0|i0|c0|p34;No # }","{\fCalibri|b0|i0|c0|p34;SIZE/TYPE}","{\fCalibri|b0|i0|c0|p34;LENGTH}","Z-COORDINATES"
"533-06","1","BORE 18mm FUTUREPATH CONDUIT","24m",""
"533-07","1","BORE 18mm FUTUREPATH CONDUIT","27m",""
"533-08","1","BORE 18mm FUTUREPATH CONDUIT","55m",""
"534","1","PLACE 2335 SB-1141A3-34 (DETAIL A)","N/A",""
"534-01","1","BORE 18mm FUTUREPATH CONDUIT","84m",""
"534-02","1","BORE 18mm FUTUREPATH CONDUIT","60m",""
"534-03","1","BORE 18mm FUTUREPATH CONDUIT","60m",""
"534-04","1","BORE 18mm FUTUREPATH CONDUIT","4m",""
"534-05","1","BORE 18mm FUTUREPATH CONDUIT","4m",""
"655","1","BORE 1-50mm HDPE FROM SB-1141A3-33 (PAGE 615) TO SB-1141A3-34","130m",""
