"{\fCalibri|b0|i0|c0|p34;ACTIVITY #}","{\fCalibri|b0|i0|c0|p34;No # }","{\fCalibri|b0|i0|c0|p34;SIZE/TYPE}","{\fCalibri|b0|i0|c0|p34;LENGTH}","Z-COORDINATES"
"531-01","1","BORE 18mm FUTUREPATH CONDUIT","45m",""
"531-02","1","BORE 18mm FUTUREPATH CONDUIT","45m",""
"531-03","1","BORE 18mm FUTUREPATH CONDUIT","23m",""
"532","1","PLACE 2335 1141A3-32 (DETAIL A)","N/A",""
"532-01","1","BORE 18mm FUTUREPATH CONDUIT","35m",""
"532-02","1","BORE 18mm FUTUREPATH CONDUIT","35m",""
"532-03","1","BORE 18mm FUTUREPATH CONDUIT","12m",""
"532-04","1","BORE 18mm FUTUREPATH CONDUIT","1m",""
"532-05","1","BORE 18mm FUTUREPATH CONDUIT","1m",""
"532-06","1","BORE 18mm FUTUREPATH CONDUIT","23m",""
"532-07","1","BORE 18mm FUTUREPATH CONDUIT","23m",""
"533","1","PLACE 2335 1141A3-33 (DETAIL A)","N/A",""
"533-01","1","BORE 18mm FUTUREPATH CONDUIT","39m",""
"533-02","1","BORE 18mm FUTUREPATH CONDUIT","26m",""
"533-03","1","BORE 18mm FUTUREPATH CONDUIT","26m",""
"533-04","1","BORE 18mm FUTUREPATH CONDUIT","4m",""
"533-05","1","BORE 18mm FUTUREPATH CONDUIT","4m",""
"650","1","BORE 1-50mm HDPE FROM SB-1141A3-40 TO SB-1141A3-41 (PAGE 620)","249m",""
"653","1","BORE 1-50mm HDPE FROM SB-1141A3-32 TO SB-1141A3-31 (PAGE 619)","91m",""
"652","1","BORE 1-50mm HDPE FROM SB-1141A3-39 TO SB-1141A3-32","68 m",""
"654","1","BORE 1-50mm HDPE FROM SB-1141A-32 TO SB-1141A-33","142m",""
"707","1","BORE 1-32mm HDPE FROM SB-1141A3-33 TO PL 216","87m",""
