"{\fCalibri|b0|i0|c0|p34;ACTIVITY #}","{\fCalibri|b0|i0|c0|p34;No # }","{\fCalibri|b0|i0|c0|p34;SIZE/TYPE}","{\fCalibri|b0|i0|c0|p34;LENGTH}","Z-COORDINATES"
"534-06","1","BORE 18mm FUTUREPATH CONDUIT","25m",""
"534-07","1","BORE 18mm FUTUREPATH CONDUIT","25m",""
"535-01","1","BORE 18mm FUTUREPATH CONDUIT","82m",""
"535-02","1","BORE 18mm FUTUREPATH CONDUIT","68m",""
"535-03","1","BORE 18mm FUTUREPATH CONDUIT","68m",""
"535-04","1","BORE 18mm FUTUREPATH CONDUIT","48m",""
"535-05","1","BORE 18mm FUTUREPATH CONDUIT","49m",""
"537-01","1","BORE 18mm FUTUREPATH CONDUIT","77m",""
"656","1","BORE 1-50mm HDPE FROM SB-1141A3-34 (PAGE 616) TO SB-1141A3-35 (PAGE 615)","194m",""
"709","1","BORE 1-32mm HDPE SHADOW CONDUIT FROM SB-1141A3-34 TO PL 79","49m",""
