"{\fCalibri|b0|i0|c0|p34;ACTIVITY #}","{\fCalibri|b0|i0|c0|p34;No # }","{\fCalibri|b0|i0|c0|p34;SIZE/TYPE}","{\fCalibri|b0|i0|c0|p34;LENGTH}","Z-COORDINATES"
"521-01","1","BORE 18mm FUTUREPATH CONDUIT","57m",""
"521-02","1","BORE 18mm FUTUREPATH CONDUIT","57m",""
"524-07","1","BORE 18mm FUTUREPATH CONDUIT","26m",""
"524-06","1","BORE 18mm FUTUREPATH CONDUIT","26m",""
"524-05","1","BORE 18mm FUTUREPATH CONDUIT","5m",""
"524-04","1","BORE 18mm FUTUREPATH CONDUIT","5m",""
"524-03","1","BORE 18mm FUTUREPATH CONDUIT","26m",""
"524-02","1","BORE 18mm FUTUREPATH CONDUIT","39m",""
"524-01","1","BORE 18mm FUTUREPATH CONDUIT","40m",""
"523-12","1","BORE 18mm FUTUREPATH CONDUIT","13m",""
"523-11","1","BORE 18mm FUTUREPATH CONDUIT","13m",""
"523-10","1","BORE 18mm FUTUREPATH CONDUIT","3m",""
"523-09","1","BORE 18mm FUTUREPATH CONDUIT","17m",""
"523-08","1","BORE 18mm FUTUREPATH CONDUIT","25m",""
"523-07","1","BORE 18mm FUTUREPATH CONDUIT","30m",""
"523-06","1","BORE 18mm FUTUREPATH CONDUIT","43m",""
"523-05","1","BORE 18mm FUTUREPATH CONDUIT","47m",""
"523-04","1","BORE 18mm FUTUREPATH CONDUIT","66m",""
"523-03","1","BORE 18mm FUTUREPATH CONDUIT","66m",""
"523-02","1","BORE 18mm FUTUREPATH CONDUIT","86m",""
"523-01","1","BORE 18mm FUTUREPATH CONDUIT","86m",""
"523","1","PLACE 2335 1141A3-23 (DETAIL A)","N/A",""
"524","1","PLACE 2335 1141A3-24 (DETAIL A)","N/A",""
