"{\fCalibri|b0|i0|c0|p34;ACTIVITY #}","{\fCalibri|b0|i0|c0|p34;No # }","{\fCalibri|b0|i0|c0|p34;SIZE/TYPE}","{\fCalibri|b0|i0|c0|p34;LENGTH}","Z-COORDINATES"
"548-01","1","BORE 18mm FUTUREPATH CONDUIT","71m",""
"548-02","1","BORE 18mm FUTUREPATH CONDUIT","61m",""
"548-03","1","BORE 18mm FUTUREPATH CONDUIT","43m",""
"548-05","1","BORE 18mm FUTUREPATH CONDUIT","43m",""
"548-06","1","BORE 18mm FUTUREPATH CONDUIT","28m",""
"549","1","{\fArial|b1|i0|c0|p34;OVER BUILD Existing PED-03 WITH MAH-1420 (DETAIL D)}","N/A",""
"549-03","1","BORE 18mm FUTUREPATH CONDUIT","29m",""
"549-04","1","BORE 18mm FUTUREPATH CONDUIT","16m",""
"549-05","1","BORE 18mm FUTUREPATH CONDUIT","16m",""
"549-06","1","BORE 18mm FUTUREPATH CONDUIT","15m",""
"549-07","1","BORE 18mm FUTUREPATH CONDUIT","15m",""
"549-08","1","BORE 18mm FUTUREPATH CONDUIT","36m",""
"549-09","1","BORE 18mm FUTUREPATH CONDUIT","36m",""
"549-10","1","BORE 18mm FUTUREPATH CONDUIT","63m",""
"549-11","1","BORE 18mm FUTUREPATH CONDUIT","63m",""
"549-12","1","BORE 18mm FUTUREPATH CONDUIT","77m",""
"639","1","BORE 1-50mm HDPE FROM SB-1141A3-51 (PAGE 611) TO SB-1141A3-49","88m",""
"640","1","BORE 1-50mm HDPE FROM SB-1141A3-49 TO  SB-1141A3-50","41m",""
"641","1","BORE 1-50mm HDPE FROM SB-1141A3-49 TO SB-1141A3-48 (PAGE 614) ","88m",""
"706","1","BORE 1-32mm HDPE SHADOW CONDUIT FROM SB-1141A3-50 TO SB-1141A3-47 (PAGE 611)","137m",""
